WASP-144 b,2.2783152,0.0316
WASP-143 b,3.778873,0.049
WASP-142 b,2.052868,0.0347
WASP-141 b,3.310651,0.0469
WASP-140 b,2.2359835,0.0323
WASP-14 b,2.2437661,0.036
WASP-139 b,5.924262,0.062
WASP-138 b,3.634433,0.0494
WASP-137 b,3.9080284,0.0519
WASP-136 b,5.215357,0.0661
WASP-135 b,1.4013794,0.0243
WASP-134 b,10.1467583,0.0956
WASP-133 b,2.176423,0.0345
WASP-132 b,7.133521,0.067
WASP-131 b,5.322023,0.0607
WASP-130 b,11.55098,0.1012
WASP-13 b,4.353011,0.05379
WASP-129 b,5.748145,0.0628
WASP-128 b,2.20883665,0.0359
WASP-127 b,4.178062,0.052
WASP-126 b,3.2888,0.0449
WASP-124 b,3.37265,0.0499
WASP-123 b,2.977641,0.0431
WASP-122 b,1.7100567,0.03107
WASP-121 b,1.2749255,0.02544
WASP-120 b,3.6112706,0.0522
WASP-12 b,1.0914203,0.0234
WASP-119 b,2.49979,0.0363
WASP-118 b,4.0460435,0.05453
WASP-117 b,10.02165,0.09459
WASP-114 b,1.5487743,0.02851
WASP-113 b,4.542168745,0.05885
WASP-112 b,3.0353992,0.0382
WASP-111 b,2.310965,0.03914
WASP-110 b,3.7783977,0.0457
WASP-109 b,3.3190233,0.0463
WASP-108 b,2.6755463,0.0397
WASP-107 b,5.72149,0.055
WASP-106 b,9.289715,0.0917
WASP-105 b,7.87288,0.075
WASP-104 b,1.7554137,0.02918
WASP-103 b,0.925542,0.01985
WASP-102 b,2.709813,0.0401
WASP-101 b,3.585722,0.0506
WASP-100 b,2.849375,0.0457
WASP-10 b,3.0927616,0.0371
WASP-1 b,2.5199448,0.03958
VB 10 b,271.56,0.36
V830 Tau b,4.93,0.057
V391 Peg b,1170,1.7
V 1298 Tau e,60,0.308
V 1298 Tau d,12.4032,0.1083
V 1298 Tau c,8.24958,0.0825
V 1298 Tau b,24.1396,0.1688
UZ For (AB) d,1900,2.8
UZ For (AB) c,5800,5.9
ups And e,3848.86,5.2456
ups And d,1281.439,2.55
ups And c,240.937,0.861
ups And b,4.61711,0.059
TYC+1422-614-1 c,569.2,1.3916
TYC+1422-614-1 b,198.44,0.6879
TYC-3667-1280-1 b,26.468,0.21
TYC 4282-605-1 b,101.54,0.422
TYC 3318-01333-1 b,562,1.414
TW Hya b,3.56,0.041
TrES-5 b,1.4822446,0.02446
TrES-4 b,3.5539268,0.05084
TrES-3 b,1.30618608,0.0226
TrES-2 A b,2.470613374,0.03555
TrES-1 b,3.0300722,0.0393
TRAPPIST-1 h,20,0.063
TRAPPIST-1 g,12.35294,0.0451
TRAPPIST-1 f,9.20669,0.0371
TRAPPIST-1 e,6.099615,0.02817
TRAPPIST-1 d,4.04961,0.02144
TRAPPIST-1 c,2.4218233,0.01521
TRAPPIST-1 b,1.51087081,0.01111
TOI-905 b,3.739494,0.04666
TOI-849 b,0.76552398,0.01598
TOI-813 b,83.8911,0.423
TOI-700 d,37.426,0.163
TOI-700 c,16.051998,0.0925
TOI-700 b,9.97701,0.0637
TOI-677 b,11.2366,0.1038
TOI-564 b,1.651144,0.02734
TOI-421 c,5.19676,0.0557
TOI-421 b,16.06815,0.1182
TOI-402 c,17.1784,0.1235
TOI-402 b,4.75642,0.05245
TOI-270 d,11.38014,0.0733
TOI-270 c,5.660172,0.0472
TOI-270 b,3.36008,0.0306
TOI-263 b,0.556814,0.01
TOI-257 b,18.38827,0.1523
TOI-216 c,34.5558,0.2068
TOI-216 b,17.085,0.1293
TOI-169 b,2.2554477,0.03524
TOI-163 b,4.231306,0.058
TOI-157 b,2.0845435,0.0318
TOI-150 b,5.857487,0.0643
TOI-1338,95.141,0.4491
TOI-132 b,2.1097008,0.026
TOI-125 d,19.98,0.137
TOI-125 c,9.15059,0.0814
TOI-125 b,4.65382,0.05186
TOI-1235 b,3.444717,0.03826
TOI-1130 c,8.350381,0.07098
TOI-1130 b,4.066499,0.04394
TOI 172,9.47721,0.0913
theta Cyg b,154.5,0.63
Teegarden's c,11.409,0.0443
Teegarden's b,4.91,0.0252
tau Gem b,305.5,1.17
tau Cet h,49.41,0.243
tau Cet g,20,0.133
tau Cet f,636.13,1.334
tau Cet e,162.87,0.538
tau Cet d,94.11,0.374
tau Cet c,35.362,0.195
tau Cet b,13.965,0.105
tau Boo A b,3.31249,0.046
TAP 26 b,10.91,0.0975
SWEEPS-16 b,0.969,0.017
SWEEPS-15 b,0.541,0.01
SWEEPS-14 b,2.965,0.037
SWEEPS-13 b,1.684,0.027
SWEEPS-12 b,2.952,0.038
SWEEPS-11 b,1.796,0.03
SWEEPS-10 b,0.424,0.008
SWEEPS-09 b,1.617,0.025
SWEEPS-08 b,0.868,0.017
SWEEPS-07 b,1.747,0.027
SWEEPS-06 b,3.039,0.042
SWEEPS-05 b,2.313,0.03
SWEEPS-04 b,4.2,0.055
SWEEPS-03 b,1.27,0.021
SWEEPS-02 b,0.912,0.015
SWEEPS-01 b,1.56,0.025
sig Per b,579.8,1.8
SDSS J1228+1040 b,0.0857,0.0034
SDSS J105213.51+442255.7 B,3144,1.84
SDSS J080531+481233 B,738,0.76
RR Cae (AB) b,4350,5.3
Ross 128 b,9.8658,0.0496
rho CrB b,39.645,0.22
QS Vir b,2869,4.2
Qatar-9 b,1.540731,0.0234
Qatar-8 b,3.71495,0.0474
Qatar-7 b,2.032046,0.0352
